Representative,State,District,Phone,Room,,
"Tenney, Claudia",NY,22d,225-3665,512,,
"Thompson, Bennie G.",MS,2d,225-5876,2466,,
"Thompson, Glenn",PA,5th,225-5121,124,,
"Thompson, Mike",CA,5th,225-3311,231,,
"Thornberry, Mac",TX,13th,225-3706,2208,,
"Tiberi, Patrick J.",OH,12th,225-5355,1203,,
"Tipton, Scott R.",CO,3d,225-4761,218,,
"Titus, Dina",NV,1st,225-5965,2464,,
"Tonko, Paul",NY,20th,225-5076,2463,,
"Torres, Norma J.",CA,35th,225-6161,1713,,
"Trott, David A.",MI,11th,225-8171,1722,,
"Tsongas, Niki",MA,3d,225-3411,1714,,
"Turner, Michael R.",OH,10th,225-6465,2368,,
"Upton, Fred",MI,6th,225-3761,2183,,
"Valadao, David G.",CA,21st,225-4695,1728,,
"Vargas, Juan",CA,51st,225-8045,1605,,
"Veasey, Marc A.",TX,33d,225-9897,1519,,
"Vela, Filemon",TX,34th,225-9901,437,,
"Velázquez, Nydia M.",NY,7th,225-2361,2302,,
"Visclosky, Peter J.",IN,1st,225-2461,2328,,
"Wagner, Ann",MO,2d,225-1621,435,,
"Walberg, Tim",MI,7th,225-6276,2436,,
"Walden, Greg",OR,2d,225-6730,2185,,
"Walker, Mark",NC,6th,225-3065,1305,,
"Walorski, Jackie",IN,2d,225-3915,419,,
"Walters, Mimi",CA,45th,225-5611,215,,
"Walz, Timothy J.",MN,1st,225-2472,2313,,
"Wasserman Schultz, Debbie",FL,23d,225-7931,1114,,
"Waters, Maxine",CA,43d,225-2201,2221,,
"Watson Coleman, Bonnie",NJ,12th,225-5801,1535,,
"Weber, Randy K., Sr.",TX,14th,225-2831,1708,,
"Webster, Daniel",FL,11th,225-1002,1210,,
"Welch, Peter",VT,At Large,225-4115,2303,,
"Wenstrup, Brad R.",OH,2d,225-3164,2419,,
"Westerman, Bruce",AR,4th,225-3772,130,,
"Williams, Roger",TX,25th,225-9896,1323,,
"Wilson, Frederica S.",FL,24th,225-4506,2445,,
"Wilson, Joe",SC,2d,225-2452,1436,,
"Wittman, Robert J.",VA,1st,225-4261,2055,,
"Womack, Steve",AR,3d,225-4301,2412,,
"Woodall, Rob",GA,7th,225-4272,1724,,
"Yarmuth, John A.",KY,3d,225-5401,131,,
"Yoder, Kevin",KS,3d,225-2865,2433,,
"Yoho, Ted S.",FL,3d,225-5744,511,,
"Young, David",IA,3d,225-5476,240,,
"Young, Don",AK,At Large,225-5765,2314,,
"Zeldin, Lee M.",NY,1st,225-3826,1517,,
"[Zinke, Ryan K.]",MT,At Lage,225-3211,1419,,
